product_relation_key,store_name
Prk-1,AT
Prk-10,AT
Prk-100,AT
Prk-101,AT
Prk-102,AT
Prk-103,AT
Prk-104,AT
Prk-105,AT
Prk-106,AT
Prk-107,AT
Prk-108,AT
Prk-109,AT
Prk-11,AT
Prk-110,AT
Prk-111,AT
Prk-112,AT
Prk-113,AT
Prk-114,AT
Prk-115,AT
Prk-116,AT
Prk-117,AT
Prk-118,AT
Prk-119,AT
Prk-12,AT
Prk-120,AT
Prk-121,AT
Prk-122,AT
Prk-123,AT
Prk-124,AT
Prk-125,AT
Prk-126,AT
Prk-127,AT
Prk-128,AT
Prk-129,AT
Prk-13,AT
Prk-130,AT
Prk-131,AT
Prk-132,AT
Prk-133,AT
Prk-134,AT
Prk-135,AT
Prk-136,AT
Prk-137,AT
Prk-138,AT
Prk-139,AT
Prk-14,AT
Prk-140,AT
Prk-141,AT
Prk-142,AT
Prk-143,AT
Prk-15,AT
Prk-16,AT
Prk-17,AT
Prk-18,AT
Prk-19,AT
Prk-2,AT
Prk-20,AT
Prk-21,AT
Prk-22,AT
Prk-23,AT
Prk-24,AT
Prk-25,AT
Prk-26,AT
Prk-27,AT
Prk-28,AT
Prk-29,AT
Prk-3,AT
Prk-30,AT
Prk-31,AT
Prk-32,AT
Prk-33,AT
Prk-34,AT
Prk-35,AT
Prk-36,AT
Prk-37,AT
Prk-38,AT
Prk-39,AT
Prk-4,AT
Prk-40,AT
Prk-41,AT
Prk-42,AT
Prk-43,AT
Prk-44,AT
Prk-45,AT
Prk-46,AT
Prk-47,AT
Prk-48,AT
Prk-49,AT
Prk-5,AT
Prk-50,AT
Prk-51,AT
Prk-52,AT
Prk-53,AT
Prk-54,AT
Prk-55,AT
Prk-56,AT
Prk-57,AT
Prk-58,AT
Prk-59,AT
Prk-6,AT
Prk-60,AT
Prk-61,AT
Prk-62,AT
Prk-63,AT
Prk-64,AT
Prk-65,AT
Prk-66,AT
Prk-67,AT
Prk-68,AT
Prk-69,AT
Prk-7,AT
Prk-70,AT
Prk-71,AT
Prk-72,AT
Prk-73,AT
Prk-74,AT
Prk-75,AT
Prk-76,AT
Prk-77,AT
Prk-78,AT
Prk-79,AT
Prk-8,AT
Prk-80,AT
Prk-81,AT
Prk-82,AT
Prk-83,AT
Prk-84,AT
Prk-85,AT
Prk-86,AT
Prk-87,AT
Prk-88,AT
Prk-89,AT
Prk-9,AT
Prk-90,AT
Prk-91,AT
Prk-92,AT
Prk-93,AT
Prk-94,AT
Prk-95,AT
Prk-96,AT
Prk-97,AT
Prk-98,AT
Prk-99,AT
