merchant_relation_key,abstract_sku,concrete_sku,price_type,store,currency,price_net,price_gross
mr-002,205,,DEFAULT,US,EUR,9022,10022
mr-002,205,,DEFAULT,US,CHF,11022,12522
mr-002,001,,DEFAULT,US,EUR,8922,9922
mr-002,001,,DEFAULT,US,CHF,10322,11422
mr-002,,001_25904006,DEFAULT,US,EUR,11222,12322
mr-002,,001_25904006,DEFAULT,US,CHF,12522,10122
mr-002,051,,DEFAULT,US,EUR,11022,12322
mr-002,,051_29567823,DEFAULT,US,EUR,10822,12022
mr-002,,051_30107816,DEFAULT,US,EUR,11222,12222
mr-002,051,,DEFAULT,US,CHF,12022,14022
mr-002,,051_29567823,DEFAULT,US,CHF,12422,13822
mr-002,,051_30107816,DEFAULT,US,CHF,12522,10322
mr-003,205,,DEFAULT,US,EUR,9033,10033
mr-003,205,,DEFAULT,US,CHF,11533,13033
mr-003,001,,DEFAULT,US,EUR,8933,9933
mr-003,001,,DEFAULT,US,CHF,10333,11433
mr-003,,001_25904006,DEFAULT,US,EUR,11233,12333
mr-003,,001_25904006,DEFAULT,US,CHF,12533,10133
mr-003,051,,DEFAULT,US,EUR,11033,12333
mr-003,,051_29567823,DEFAULT,US,EUR,10833,12033
mr-003,,051_30107816,DEFAULT,US,EUR,11233,12233
mr-003,051,,DEFAULT,US,CHF,12033,14033
mr-003,,051_29567823,DEFAULT,US,CHF,12433,13833
mr-003,,051_30107816,DEFAULT,US,CHF,12533,10333
sugar-monster-spryker-hq-1,001,,DEFAULT,US,EUR,500,500
sugar-monster-spryker-hq-1,001,,DEFAULT,US,CHF,500,500
