shipment_method_key,store,currency,value_net,value_gross
spryker_dummy_shipment-standard,US,USD,390,490
spryker_dummy_shipment-express,US,USD,490,590
spryker_drone_shipment-air_standard,US,USD,450,500
spryker_drone_shipment-air_sonic,US,USD,800,1000
spryker_drone_shipment-air_light,US,USD,1200,1500
spryker_dummy_shipment-standard,US,CHF,450,560
spryker_dummy_shipment-express,US,CHF,560,680
spryker_drone_shipment-air_standard,US,CHF,520,580
spryker_drone_shipment-air_sonic,US,CHF,920,1200
spryker_drone_shipment-air_light,US,CHF,1400,1700
spryker_no_shipment,US,USD,0,0
spryker_no_shipment,US,CHF,0,0
