sku,approval_status
001,approved
002,approved
003,approved
004,approved
005,approved
006,approved
007,approved
008,approved
009,approved
010,approved
011,approved
012,approved
013,approved
014,approved
015,approved
016,approved
017,approved
018,approved
019,approved
020,approved
021,approved
022,approved
023,approved
024,approved
025,approved
026,approved
027,approved
028,approved
029,approved
030,approved
031,approved
032,approved
033,approved
034,approved
035,approved
036,approved
037,approved
038,approved
039,approved
040,approved
041,approved
042,approved
043,approved
044,approved
045,approved
046,approved
047,approved
048,approved
049,approved
050,approved
051,approved
052,approved
053,approved
054,approved
055,approved
056,approved
057,approved
058,approved
059,approved
060,approved
061,approved
062,approved
063,approved
064,approved
065,approved
066,approved
067,approved
068,approved
069,approved
070,approved
071,approved
072,approved
073,approved
074,approved
075,approved
076,approved
077,approved
078,approved
079,approved
080,approved
081,approved
082,approved
083,approved
084,approved
085,approved
086,approved
087,approved
088,approved
089,approved
090,approved
091,approved
092,approved
093,approved
094,approved
095,approved
096,approved
097,approved
098,approved
099,approved
100,approved
101,approved
102,approved
103,approved
104,approved
105,approved
106,approved
107,approved
108,approved
109,approved
110,approved
111,approved
112,approved
113,approved
114,approved
115,approved
116,approved
117,approved
118,approved
119,approved
120,approved
121,approved
122,approved
123,approved
124,approved
125,approved
126,approved
127,approved
128,approved
129,approved
130,approved
131,approved
132,approved
133,approved
134,approved
135,approved
136,approved
137,approved
138,approved
139,approved
140,approved
141,approved
142,approved
143,approved
144,approved
145,approved
146,approved
147,approved
148,approved
149,approved
150,approved
151,approved
152,approved
153,approved
154,approved
155,approved
156,approved
157,approved
158,approved
159,approved
160,approved
161,approved
162,approved
163,approved
164,approved
165,approved
166,approved
167,approved
168,approved
169,approved
170,approved
171,approved
172,approved
173,approved
174,approved
175,approved
176,approved
177,approved
178,approved
179,approved
180,approved
181,approved
182,approved
183,approved
184,draft
185,approved
186,approved
187,approved
188,approved
189,approved
190,approved
191,approved
192,approved
193,approved
194,approved
195,approved
196,denied
197,approved
198,approved
199,approved
200,approved
201,approved
202,approved
203,approved
204,approved
205,approved
206,approved
207,approved
208,approved
209,waiting_for_approval
210,approved
211,approved
212,approved
213,approved
214,approved
215,approved
216,approved
217,approved
218,approved
218,approved
219,approved
666,approved
fish-1,approved
potato-1,approved
cable-hdmi-1,approved
cable-vga-1,approved
