abstract_sku,product_abstract_type_key
001,product
002,product
003,product
004,product
005,product
006,product
007,product
008,product
009,product
010,product
011,product
012,product
013,product
014,product
015,product
016,product
017,product
018,product
019,product
020,product
021,product
022,product
023,product
024,product
025,product
026,product
027,product
028,product
029,product
030,product
031,product
032,product
033,product
034,product
035,product
036,product
037,product
038,product
039,product
040,product
041,product
042,product
043,product
044,product
045,product
046,product
047,product
048,product
049,product
050,product
051,product
052,product
053,product
054,product
055,product
056,product
057,product
058,product
059,product
060,product
061,product
062,product
063,product
064,product
065,product
066,product
067,product
068,product
069,product
070,product
071,product
072,product
073,product
074,product
075,product
076,product
077,product
078,product
079,product
080,product
081,product
082,product
083,product
084,product
085,product
086,product
087,product
088,product
089,product
090,product
091,product
092,product
093,product
094,product
095,product
096,product
097,product
098,product
099,product
100,product
101,product
102,product
103,product
104,product
105,product
106,product
107,product
108,product
109,product
110,product
111,product
112,product
113,product
114,product
115,product
116,product
117,product
118,product
119,product
120,product
121,product
122,product
123,product
124,product
125,product
126,product
127,product
128,product
129,product
130,product
131,product
132,product
133,product
134,product
135,product
136,product
137,product
138,product
139,product
140,product
141,product
142,product
143,product
144,product
145,product
146,product
147,product
148,product
149,product
150,product
151,product
152,product
153,product
154,product
155,product
156,product
157,product
158,product
159,product
160,product
161,product
162,product
163,product
164,product
165,product
166,product
167,product
168,product
169,product
170,product
171,product
172,product
173,product
174,product
175,product
176,product
177,product
178,product
179,product
180,product
181,product
182,product
183,product
184,product
185,product
186,product
187,product
188,product
189,product
190,product
191,product
192,product
193,product
194,product
195,product
196,product
197,product
198,product
199,product
200,product
201,product
202,product
203,product
204,product
205,product
206,product
207,product
208,product
209,product
210,product
211,product
212,product
213,product
214,product
215,product
216,product
217,product
218,product
219,product
666,product
fish-1,product
potato-1,product
cable-hdmi-1,product
cable-vga-1,product
service-001,service
service-002,service
service-003,service
service-004,service
