concrete_sku,name,quantity,is_never_out_of_stock,is_bundle
112_312526171,Warehouse1,10,0,0
112_306918001,Warehouse1,10,0,0
112_312526191,Warehouse1,10,0,0
112_312526172,Warehouse1,10,0,0
112_306918002,Warehouse1,10,0,0
112_312526192,Warehouse1,10,0,0
112_306918003,Warehouse1,10,0,0
112_312526193,Warehouse1,10,0,0
113_29885591,Warehouse1,10,0,0
114_29911081,Warehouse1,10,0,0
114_30580483,Warehouse1,10,0,0
115_27295368,Warehouse1,10,0,0
115_26440118,Warehouse1,10,0,0
115_26408656,Warehouse1,10,0,0
116_29743424,Warehouse1,10,0,0
116_28684053,Warehouse1,10,0,0
117_29890338,Warehouse1,10,0,0
117_30585828,Warehouse1,10,0,0
118_29804739,Warehouse1,10,0,0
119_29804808,Warehouse1,10,0,0
120_29890350,Warehouse1,10,0,0
120_30069636,Warehouse2,10,0,0
120_30069631,Warehouse2,10,0,0
121_29406823,Warehouse2,10,0,0
121_28542963,Warehouse2,10,0,0
121_28549476,Warehouse2,10,0,0
122_22308524,Warehouse2,10,0,0
122_26145672,Warehouse2,10,0,0
123_29866607,Warehouse2,10,0,0
123_30610368,Warehouse2,10,0,0
123_29866603,Warehouse2,10,0,0
124_31623088,Warehouse2,10,0,0
124_29866591,Warehouse2,10,0,0
125_30703764,Warehouse2,10,0,0
125_30350012,Warehouse2,10,0,0
126_24722439,Warehouse2,10,0,0
126_30407844,Warehouse2,10,0,0
126_26280142,Warehouse2,10,0,0
127_22828284,Warehouse2,10,0,0
127_22613708,Warehouse2,10,0,0
127_20723326,Warehouse2,10,0,0
127_22613709,Warehouse2,10,0,0
128_29955336,Warehouse2,10,0,0
128_27314278,Warehouse2,10,0,0
129_30706500,Warehouse2,10,0,0
129_27107297,Warehouse2,10,0,0
129_24325712,Warehouse2,10,0,0
130_29285281,Warehouse2,10,0,0
130_24326086,Warehouse2,10,0,0
130_24725761,Warehouse2,0,1,0
131_24872891,Warehouse2,0,1,0
132_30619567,Warehouse2,0,1,0
133_31743669,Warehouse2,0,1,0
134_29759322,Warehouse2,0,1,0
134_26145012,Warehouse2,0,1,0
135_29836399,Warehouse2,0,1,0
135_30359386,Warehouse2,0,1,0
136_24425591,Warehouse2,0,1,0
137_29283479,Warehouse2,0,1,0
137_29283480,Warehouse1,0,1,0
138_30046855,Warehouse1,0,1,0
138_30657838,Warehouse1,0,1,0
139_24699831,Warehouse1,10,1,0
140_22766487,Warehouse1,0,1,0
141_29380410,Warehouse1,0,1,0
142_30943081,Warehouse1,0,1,0
143_31035196,Warehouse1,0,1,0
144_29804740,Warehouse1,0,1,0
144_30312874,Warehouse1,0,1,0
144_29804741,Warehouse1,0,1,0
145_29885470,Warehouse1,0,1,0
145_29885471,Warehouse1,0,1,0
145_29885473,Warehouse1,0,1,0
146_30706737,Warehouse1,0,1,0
146_30213351,Warehouse1,0,1,0
147_27295351,Warehouse1,0,1,0
147_30046188,Warehouse1,0,1,0
148_25977678,Warehouse1,0,1,0
148_25977676,Warehouse1,0,1,0
148_27282150,Warehouse1,0,1,0
149_30283566,Warehouse1,0,1,0
149_28346778,Warehouse1,0,1,0
150_29554292,Warehouse1,0,1,0
151_30983682,Warehouse1,0,1,0
152_27104941,Warehouse1,0,1,0
152_29810130,Warehouse1,0,1,0
153_26178487,Warehouse1,0,1,0
153_29805122,Warehouse1,0,1,0
153_29805124,Warehouse1,0,1,0
154_31980499,Warehouse1,0,1,0
154_31266921,Warehouse1,0,1,0
155_32122450,Warehouse1,0,1,0
