shopping_list_item_key,shopping_list_key,product_sku,quantity
shopping-list-item-key-1,Laptops,134_29759322,1
shopping-list-item-key-2,Laptops,136_24425591,1
shopping-list-item-key-3,Laptops,135_29836399,3
shopping-list-item-key-4,Laptops,138_30657838,1
shopping-list-item-key-5,Laptops,139_24699831,1
shopping-list-item-key-6,Laptops,141_29380410,1
shopping-list-item-key-7,Laptops,145_29885473,1
shopping-list-item-key-8,Laptops,152_27104941,1
shopping-list-item-key-9,Laptops,137_29283479,1
shopping-list-item-key-10,Laptops,142_30943081,1
shopping-list-item-key-11,Laptops,140_22766487,1
shopping-list-item-key-12,Cameras,001_25904006,1
shopping-list-item-key-13,Cameras,184_17365820,1
shopping-list-item-key-14,Cameras,035_17360369,1
shopping-list-item-key-15,Cameras,017_21748906,1
shopping-list-item-key-16,Cameras,185_25904533,1
shopping-list-item-key-17,Cameras,187_26306352,1
shopping-list-item-key-18,Cameras,015_25904009,5
shopping-list-item-key-19,Cameras,001_25904006,1
shopping-list-item-key-20,Cameras,018_21081477,5
shopping-list-item-key-21,Cameras,027_26976107,2
shopping-list-item-key-22,Cameras,186_25904506,1
shopping-list-item-key-23,Cameras,033_32125568,1
shopping-list-item-key-24,Workstations,115_27295368,1
shopping-list-item-key-25,Workstations,118_29804739,1
shopping-list-item-key-26,Workstations,124_31623088,1
shopping-list-item-key-27,Workstations,126_26280142,1
shopping-list-item-key-28,Workstations,119_29804808,1
shopping-list-item-key-29,Workstations,128_29955336,1
shopping-list-item-key-30,Workstations,127_20723326,1
shopping-list-item-key-31,Workstations,117_30585828,1
shopping-list-item-key-32,Workstations,129_30706500,1
shopping-list-item-key-33,Marketplace Cases,187_26306352,1
shopping-list-item-key-35,Marketplace Cases,104_30727010,1
shopping-list-item-key-36,Marketplace Cases,185_25904533,1
shopping-list-item-key-37,Marketplace Cases,184_17494387,1
shopping-list-item-key-38,Marketplace Cases,090_24495844,1
shopping-list-item-key-39,Marketplace Cases,101_29727910,1
shopping-list-item-key-40,Marketplace Cases,017_21748906,1
shopping-list-item-key-41,Marketplace Cases,102_30727008,1
shopping-list-item-key-42,Marketplace Cases,002_25904004,1
shopping-list-item-key-43,Marketplace Cases,003_26138343,1
