category_key,category_product_order,abstract_sku,name.en_US,name.de_DE,url.en_US,url.de_DE,is_featured,attribute_key_1,value_1,attribute_key_1.en_US,value_1.en_US,attribute_key_1.de_DE,value_1.de_DE,attribute_key_2,value_2,attribute_key_2.en_US,value_2.en_US,attribute_key_2.de_DE,value_2.de_DE,attribute_key_3,value_3,attribute_key_3.en_US,value_3.en_US,attribute_key_3.de_DE,value_3.de_DE,attribute_key_4,value_4,attribute_key_4.en_US,value_4.en_US,attribute_key_4.de_DE,value_4.de_DE,attribute_key_5,value_5,attribute_key_5.en_US,value_5.en_US,attribute_key_5.de_DE,value_5.de_DE,attribute_key_6,value_6,attribute_key_6.en_US,value_6.en_US,attribute_key_6.de_DE,value_6.de_DE,color_code,description.en_US,description.de_DE,icecat_pdp_url,tax_set_name,meta_title.en_US,meta_title.de_DE,meta_keywords.en_US,meta_keywords.de_DE,meta_description.en_US,meta_description.de_DE,icecat_license,new_from,new_to
digital-cameras,1,7135138570,consequatur,"(DE) consequatur",/en/demo/url/5ae343ef5914f,/de/demo/url/5ae343ef5a0be,0,att_key_1,att_val_1,,,,,att_key_2,att_val_2,,,,,att_key_3,att_val_3,,,,,att_key_4,att_val_4,,,,,att_key_5,att_val_5,,,,,att_key_6,att_val_6,,,,,#ffffff,"Inventore ad eaque soluta ratione maxime.","(DE) Inventore ad eaque soluta ratione maxime.",,"Entertainment Electronics",est,"(DE) est",est,"(DE) est","Repudiandae aspernatur non culpa.","(DE) Repudiandae aspernatur non culpa.",,2018-04-27T15:38:23+00:00,2018-04-27T15:38:23+00:00
digital-cameras,1,9654939533,inventore,"(DE) inventore",/en/demo/url/5ae343ef5bec9,/de/demo/url/5ae343ef5d160,0,att_key_1,att_val_1,,,,,att_key_2,att_val_2,,,,,att_key_3,att_val_3,,,,,att_key_4,att_val_4,,,,,att_key_5,att_val_5,,,,,att_key_6,att_val_6,,,,,#ffffff,"Odit reprehenderit qui sunt deleniti error.","(DE) Odit reprehenderit qui sunt deleniti error.",,"Entertainment Electronics",aut,"(DE) aut",natus,"(DE) natus","Temporibus et sunt non repudiandae odio.","(DE) Temporibus et sunt non repudiandae odio.",,2018-04-27T15:38:23+00:00,2018-04-27T15:38:23+00:00
digital-cameras,1,2963605579,aut,"(DE) aut",/en/demo/url/5ae343ef5ddb1,/de/demo/url/5ae343ef5e0ad,0,att_key_1,att_val_1,,,,,att_key_2,att_val_2,,,,,att_key_3,att_val_3,,,,,att_key_4,att_val_4,,,,,att_key_5,att_val_5,,,,,att_key_6,att_val_6,,,,,#ffffff,"Doloremque nam illum blanditiis iste suscipit voluptas.","(DE) Doloremque nam illum blanditiis iste suscipit voluptas.",,"Entertainment Electronics",est,"(DE) est",laborum,"(DE) laborum","Sed est iure minima molestiae.","(DE) Sed est iure minima molestiae.",,2018-04-27T15:38:23+00:00,2018-04-27T15:38:23+00:00
digital-cameras,1,6111345567,tempora,"(DE) tempora",/en/demo/url/5ae343ef60bde,/de/demo/url/5ae343ef60c29,0,att_key_1,att_val_1,,,,,att_key_2,att_val_2,,,,,att_key_3,att_val_3,,,,,att_key_4,att_val_4,,,,,att_key_5,att_val_5,,,,,att_key_6,att_val_6,,,,,#ffffff,"Id quisquam ipsa voluptatem nostrum magnam.","(DE) Id quisquam ipsa voluptatem nostrum magnam.",,"Entertainment Electronics",delectus,"(DE) delectus",ut,"(DE) ut","Eum quam dolorem soluta cum dolore fugiat neque.","(DE) Eum quam dolorem soluta cum dolore fugiat neque.",,2018-04-27T15:38:23+00:00,2018-04-27T15:38:23+00:00
digital-cameras,1,8850352956,vitae,"(DE) vitae",/en/demo/url/5ae343ef61835,/de/demo/url/5ae343ef62736,0,att_key_1,att_val_1,,,,,att_key_2,att_val_2,,,,,att_key_3,att_val_3,,,,,att_key_4,att_val_4,,,,,att_key_5,att_val_5,,,,,att_key_6,att_val_6,,,,,#ffffff,"Voluptatibus voluptas dolor quia aut vitae occaecati et.","(DE) Voluptatibus voluptas dolor quia aut vitae occaecati et.",,"Entertainment Electronics",rerum,"(DE) rerum",dicta,"(DE) dicta","Reiciendis recusandae quo non beatae.","(DE) Reiciendis recusandae quo non beatae.",,2018-04-27T15:38:23+00:00,2018-04-27T15:38:23+00:00
digital-cameras,1,1266883207,commodi,"(DE) commodi",/en/demo/url/5ae343ef62ea5,/de/demo/url/5ae343ef6597d,0,att_key_1,att_val_1,,,,,att_key_2,att_val_2,,,,,att_key_3,att_val_3,,,,,att_key_4,att_val_4,,,,,att_key_5,att_val_5,,,,,att_key_6,att_val_6,,,,,#ffffff,"Aut molestiae dolores omnis et in.","(DE) Aut molestiae dolores omnis et in.",,"Entertainment Electronics",veniam,"(DE) veniam",corrupti,"(DE) corrupti","Animi sed eos occaecati consequuntur.","(DE) Animi sed eos occaecati consequuntur.",,2018-04-27T15:38:23+00:00,2018-04-27T15:38:23+00:00
digital-cameras,1,8360276064,non,"(DE) non",/en/demo/url/5ae343ef6625a,/de/demo/url/5ae343ef662e9,0,att_key_1,att_val_1,,,,,att_key_2,att_val_2,,,,,att_key_3,att_val_3,,,,,att_key_4,att_val_4,,,,,att_key_5,att_val_5,,,,,att_key_6,att_val_6,,,,,#ffffff,"Ipsa quam natus ut fugit qui.","(DE) Ipsa quam natus ut fugit qui.",,"Entertainment Electronics",odio,"(DE) odio",necessitatibus,"(DE) necessitatibus","Praesentium quo veritatis tempora perspiciatis maiores.","(DE) Praesentium quo veritatis tempora perspiciatis maiores.",,2018-04-27T15:38:23+00:00,2018-04-27T15:38:23+00:00
digital-cameras,1,9642978199,ipsam,"(DE) ipsam",/en/demo/url/5ae343ef66a72,/de/demo/url/5ae343ef66acb,0,att_key_1,att_val_1,,,,,att_key_2,att_val_2,,,,,att_key_3,att_val_3,,,,,att_key_4,att_val_4,,,,,att_key_5,att_val_5,,,,,att_key_6,att_val_6,,,,,#ffffff,"Velit perferendis aspernatur natus facere corporis.","(DE) Velit perferendis aspernatur natus facere corporis.",,"Entertainment Electronics",dicta,"(DE) dicta",adipisci,"(DE) adipisci","Fuga dolore voluptas voluptatum repellendus asperiores aperiam quia.","(DE) Fuga dolore voluptas voluptatum repellendus asperiores aperiam quia.",,2018-04-27T15:38:23+00:00,2018-04-27T15:38:23+00:00
digital-cameras,1,472162333X,sed,"(DE) sed",/en/demo/url/5ae343ef67891,/de/demo/url/5ae343ef678ca,0,att_key_1,att_val_1,,,,,att_key_2,att_val_2,,,,,att_key_3,att_val_3,,,,,att_key_4,att_val_4,,,,,att_key_5,att_val_5,,,,,att_key_6,att_val_6,,,,,#ffffff,"Vel dolor et sit assumenda.","(DE) Vel dolor et sit assumenda.",,"Entertainment Electronics",corrupti,"(DE) corrupti",facere,"(DE) facere","Quam voluptate cum dolor commodi iusto ratione corrupti.","(DE) Quam voluptate cum dolor commodi iusto ratione corrupti.",,2018-04-27T15:38:23+00:00,2018-04-27T15:38:23+00:00
digital-cameras,1,1709572574,dolor,"(DE) dolor",/en/demo/url/5ae343ef68bbd,/de/demo/url/5ae343ef691ec,0,att_key_1,att_val_1,,,,,att_key_2,att_val_2,,,,,att_key_3,att_val_3,,,,,att_key_4,att_val_4,,,,,att_key_5,att_val_5,,,,,att_key_6,att_val_6,,,,,#ffffff,"Rerum adipisci ut ad quia voluptas aut et reiciendis.","(DE) Rerum adipisci ut ad quia voluptas aut et reiciendis.",,"Entertainment Electronics",quo,"(DE) quo",id,"(DE) id","Iusto sit velit ullam eaque voluptas commodi.","(DE) Iusto sit velit ullam eaque voluptas commodi.",,2018-04-27T15:38:23+00:00,2018-04-27T15:38:23+00:00
