abstract_sku,old_sku,concrete_sku,name.en_US,name.de_DE,attribute_key_1,value_1,attribute_key_1.en_US,value_1.en_US,attribute_key_1.de_DE,value_1.de_DE,attribute_key_2,value_2,attribute_key_2.en_US,value_2.en_US,attribute_key_2.de_DE,value_2.de_DE,icecat_pdp_url,description.en_US,description.de_DE,is_searchable.en_US,is_searchable.de_DE,icecat_license,bundled
6448856846,001_4254802358,4254802358,"(EN) Nobis rem.","(DE) Nobis rem.",att_key_1,att_val_1,,,,,att_key_2,att_val_2,,,,,,"(EN) Et voluptatem placeat.","(DE) Et voluptatem placeat.",1,1,,
3783150965,002_4909267816,4909267816,"(EN) Dolorem esse.","(DE) Dolorem esse.",att_key_1,att_val_1,,,,,att_key_2,att_val_2,,,,,,"(EN) Voluptatibus dicta.","(DE) Voluptatibus dicta.",1,1,,
1680840142,003_6761559642,6761559642,"(EN) Quia recusandae quasi.","(DE) Quia recusandae quasi.",att_key_1,att_val_1,,,,,att_key_2,att_val_2,,,,,,"(EN) Aut quia.","(DE) Aut quia.",1,1,,
3782459571,004_6741998187,6741998187,"(EN) Magni quisquam veritatis.","(DE) Magni quisquam veritatis.",att_key_1,att_val_1,,,,,att_key_2,att_val_2,,,,,,"(EN) Voluptate reiciendis voluptatem.","(DE) Voluptate reiciendis voluptatem.",1,1,,4909267816/5
4698553407,005_1268846023,1268846023,"(EN) Culpa sint.","(DE) Culpa sint.",att_key_1,att_val_1,,,,,att_key_2,att_val_2,,,,,,"(EN) Consequatur recusandae maxime.","(DE) Consequatur recusandae maxime.",1,1,,6761559642/3
5955203079,006_0727257552,0727257552,"(EN) Tempore architecto molestiae.","(DE) Tempore architecto molestiae.",att_key_1,att_val_1,,,,,att_key_2,att_val_2,,,,,,"(EN) Beatae et blanditiis.","(DE) Beatae et blanditiis.",1,1,,6741998187/4
8598775290,007_8726050862,8726050862,"(EN) Dolor cumque.","(DE) Dolor cumque.",att_key_1,att_val_1,,,,,att_key_2,att_val_2,,,,,,"(EN) Minus perferendis reiciendis.","(DE) Minus perferendis reiciendis.",1,1,,
0739728180,008_6021143248,6021143248,"(EN) Quaerat omnis quaerat.","(DE) Quaerat omnis quaerat.",att_key_1,att_val_1,,,,,att_key_2,att_val_2,,,,,,"(EN) Est sunt eos.","(DE) Est sunt eos.",1,1,,
4252422612,009_0627381456,0627381456,"(EN) Aut sed.","(DE) Aut sed.",att_key_1,att_val_1,,,,,att_key_2,att_val_2,,,,,,"(EN) Aut quo consequatur.","(DE) Aut quo consequatur.",1,1,,
0929359453,010_2378823460,2378823460,"(EN) Nisi dolor libero.","(DE) Nisi dolor libero.",att_key_1,att_val_1,,,,,att_key_2,att_val_2,,,,,,"(EN) Possimus sunt est.","(DE) Possimus sunt est.",1,1,,
9520171770,011_9291430986,9291430986,"(EN) Cum est.","(DE) Cum est.",att_key_1,att_val_1,,,,,att_key_2,att_val_2,,,,,,"(EN) Rerum voluptatem minima.","(DE) Rerum voluptatem minima.",1,1,,4909267816/1
1782896511,012_7043521610,7043521610,"(EN) Qui nihil.","(DE) Qui nihil.",att_key_1,att_val_1,,,,,att_key_2,att_val_2,,,,,,"(EN) Id velit voluptatum.","(DE) Id velit voluptatum.",1,1,,6761559642/1
4865622470,013_3052247875,3052247875,"(EN) Iure sint.","(DE) Iure sint.",att_key_1,att_val_1,,,,,att_key_2,att_val_2,,,,,,"(EN) In vitae.","(DE) In vitae.",1,1,,6741998187/5
8850200447,014_5388613437,5388613437,"(EN) Magnam non voluptatum.","(DE) Magnam non voluptatum.",att_key_1,att_val_1,,,,,att_key_2,att_val_2,,,,,,"(EN) Fugit sequi dolores.","(DE) Fugit sequi dolores.",1,1,,
7520741818,015_4990793056,4990793056,"(EN) Omnis voluptas eos.","(DE) Omnis voluptas eos.",att_key_1,att_val_1,,,,,att_key_2,att_val_2,,,,,,"(EN) Vero fugit.","(DE) Vero fugit.",1,1,,6021143248/4
