merchant_key,date,time_from,time_to,note
spryker,2020-01-01,,,merchant_weekday_schedule.new_year
spryker,2020-04-10,,,merchant_weekday_schedule.good_friday
spryker,2020-04-12,,,merchant_weekday_schedule.easter_sunday
spryker,2020-04-13,,,merchant_weekday_schedule.easter_monday
spryker,2020-05-01,,,merchant_weekday_schedule.may_day
spryker,2020-05-21,,,merchant_weekday_schedule.ascension_of_christ
spryker,2020-05-31,,,merchant_weekday_schedule.whit_sunday
spryker,2020-06-01,,,merchant_weekday_schedule.whit_monday
spryker,2020-06-11,,,merchant_weekday_schedule.corpus_christi
spryker,2020-10-03,,,merchant_weekday_schedule.day_of_german_unity
spryker,2020-11-01,,,merchant_weekday_schedule.all_saints_day
spryker,2020-12-25,,,merchant_weekday_schedule.1st_christmas_day
spryker,2020-12-26,,,merchant_weekday_schedule.2nd_christmas_day
spryker,2021-11-28,13:00:00,18:00:00,merchant_weekday_schedule.sunday_opening
spryker,2021-12-31,10:00:00,17:00:00,
video-king,2020-01-01,,,merchant_weekday_schedule.new_year
video-king,2020-04-10,,,merchant_weekday_schedule.good_friday
video-king,2020-04-12,,,merchant_weekday_schedule.easter_sunday
video-king,2020-04-13,,,merchant_weekday_schedule.easter_monday
video-king,2020-05-01,,,merchant_weekday_schedule.may_day
video-king,2020-05-21,,,merchant_weekday_schedule.ascension_of_christ
video-king,2020-05-31,,,merchant_weekday_schedule.whit_sunday
video-king,2020-06-01,,,merchant_weekday_schedule.whit_monday
video-king,2020-06-11,,,merchant_weekday_schedule.corpus_christi
video-king,2020-10-03,,,merchant_weekday_schedule.day_of_german_unity
video-king,2020-11-01,,,merchant_weekday_schedule.all_saints_day
video-king,2020-12-25,,,merchant_weekday_schedule.1st_christmas_day
video-king,2020-12-26,,,merchant_weekday_schedule.2nd_christmas_day
sony-experts,2020-01-01,,,merchant_weekday_schedule.new_year
sony-experts,2020-04-10,,,merchant_weekday_schedule.good_friday
sony-experts,2020-04-12,,,merchant_weekday_schedule.easter_sunday
sony-experts,2020-04-13,,,merchant_weekday_schedule.easter_monday
sony-experts,2020-05-01,,,merchant_weekday_schedule.may_day
sony-experts,2020-05-21,,,merchant_weekday_schedule.ascension_of_christ
sony-experts,2020-05-31,,,merchant_weekday_schedule.whit_sunday
sony-experts,2020-06-01,,,merchant_weekday_schedule.whit_monday
sony-experts,2020-06-11,,,merchant_weekday_schedule.corpus_christi
sony-experts,2020-10-03,,,merchant_weekday_schedule.day_of_german_unity
sony-experts,2020-11-01,,,merchant_weekday_schedule.all_saints_day
sony-experts,2020-12-25,,,merchant_weekday_schedule.1st_christmas_day
sony-experts,2020-12-26,,,merchant_weekday_schedule.2nd_christmas_day
sony-experts,2021-11-28,13:00:00,18:00:00,merchant_weekday_schedule.sunday_opening
sony-experts,2021-12-31,10:00:00,17:00:00,
budget-cameras,2020-01-01,,,merchant_weekday_schedule.new_year
budget-cameras,2020-04-10,,,merchant_weekday_schedule.good_friday
budget-cameras,2020-04-12,,,merchant_weekday_schedule.easter_sunday
budget-cameras,2020-04-13,,,merchant_weekday_schedule.easter_monday
budget-cameras,2020-05-01,,,merchant_weekday_schedule.may_day
budget-cameras,2020-05-21,,,merchant_weekday_schedule.ascension_of_christ
budget-cameras,2020-05-31,,,merchant_weekday_schedule.whit_sunday
budget-cameras,2020-06-01,,,merchant_weekday_schedule.whit_monday
budget-cameras,2020-06-11,,,merchant_weekday_schedule.corpus_christi
budget-cameras,2020-10-03,,,merchant_weekday_schedule.day_of_german_unity
budget-cameras,2020-11-01,,,merchant_weekday_schedule.all_saints_day
budget-cameras,2020-12-25,,,merchant_weekday_schedule.1st_christmas_day
budget-cameras,2020-12-26,,,merchant_weekday_schedule.2nd_christmas_day
budget-cameras,2021-11-28,13:00:00,18:00:00,merchant_weekday_schedule.sunday_opening
budget-cameras,2021-12-31,10:00:00,13:00:00,
budget-cameras,2021-12-31,14:00:00,17:00:00,
