abstract_sku,concrete_sku,price_type,value_net,value_gross,currency,store
6448856846,,DEFAULT,3940,8571,EUR,DE
6448856846,,ORIGINAL,3940,8571,EUR,DE
3783150965,,DEFAULT,2196,6870,EUR,DE
3783150965,,ORIGINAL,2196,6870,EUR,DE
1680840142,,DEFAULT,2151,9497,EUR,DE
1680840142,,ORIGINAL,2151,9497,EUR,DE
3782459571,,DEFAULT,7328,9280,EUR,DE
3782459571,,ORIGINAL,7328,9280,EUR,DE
4698553407,,DEFAULT,9671,6762,EUR,DE
4698553407,,ORIGINAL,9671,6762,EUR,DE
5955203079,,DEFAULT,6316,8120,EUR,DE
5955203079,,ORIGINAL,6316,8120,EUR,DE
8598775290,,DEFAULT,1119,2752,EUR,DE
8598775290,,ORIGINAL,1119,2752,EUR,DE
0739728180,,DEFAULT,3462,2988,EUR,DE
0739728180,,ORIGINAL,3462,2988,EUR,DE
4252422612,,DEFAULT,5600,2817,EUR,DE
4252422612,,ORIGINAL,5600,2817,EUR,DE
0929359453,,DEFAULT,3649,6590,EUR,DE
0929359453,,ORIGINAL,3649,6590,EUR,DE
9520171770,,DEFAULT,3360,2089,EUR,DE
9520171770,,ORIGINAL,3360,2089,EUR,DE
1782896511,,DEFAULT,3427,6512,EUR,DE
1782896511,,ORIGINAL,3427,6512,EUR,DE
4865622470,,DEFAULT,4834,1397,EUR,DE
4865622470,,ORIGINAL,4834,1397,EUR,DE
8850200447,,DEFAULT,2701,9869,EUR,DE
8850200447,,ORIGINAL,2701,9869,EUR,DE
7520741818,,DEFAULT,8899,7816,EUR,DE
7520741818,,ORIGINAL,8899,7816,EUR,DE
8393747953,,DEFAULT,3598,4246,EUR,DE
8393747953,,ORIGINAL,3598,4246,EUR,DE
1350357251,,DEFAULT,4799,8852,EUR,DE
1350357251,,ORIGINAL,4799,8852,EUR,DE
8864664602,,DEFAULT,1485,3143,EUR,DE
8864664602,,ORIGINAL,1485,3143,EUR,DE
3558586603,,DEFAULT,7126,7684,EUR,DE
3558586603,,ORIGINAL,7126,7684,EUR,DE
7213527282,,DEFAULT,9174,9256,EUR,DE
7213527282,,ORIGINAL,9174,9256,EUR,DE
818742947X,,DEFAULT,8592,6584,EUR,DE
818742947X,,ORIGINAL,8592,6584,EUR,DE
1087811902,,DEFAULT,1492,3629,EUR,DE
1087811902,,ORIGINAL,1492,3629,EUR,DE
3747907334,,DEFAULT,6955,2298,EUR,DE
3747907334,,ORIGINAL,6955,2298,EUR,DE
1131028600,,DEFAULT,7679,2357,EUR,DE
1131028600,,ORIGINAL,7679,2357,EUR,DE
6221330726,,DEFAULT,1611,9514,EUR,DE
6221330726,,ORIGINAL,1611,9514,EUR,DE
6141921418,,DEFAULT,4132,7665,EUR,DE
6141921418,,ORIGINAL,4132,7665,EUR,DE
4292024073,,DEFAULT,2500,2658,EUR,DE
4292024073,,ORIGINAL,2500,2658,EUR,DE
1288949847,,DEFAULT,4667,6963,EUR,DE
1288949847,,ORIGINAL,4667,6963,EUR,DE
1820564568,,DEFAULT,3407,9597,EUR,DE
1820564568,,ORIGINAL,3407,9597,EUR,DE
8301437642,,DEFAULT,8746,7774,EUR,DE
8301437642,,ORIGINAL,8746,7774,EUR,DE
865827585X,,DEFAULT,4126,5673,EUR,DE
865827585X,,ORIGINAL,4126,5673,EUR,DE
7704292986,,DEFAULT,1483,4984,EUR,DE
7704292986,,ORIGINAL,1483,4984,EUR,DE
484241278X,,DEFAULT,9152,8429,EUR,DE
484241278X,,ORIGINAL,9152,8429,EUR,DE
3137733413,,DEFAULT,9099,3616,EUR,DE
3137733413,,ORIGINAL,9099,3616,EUR,DE
4999128942,,DEFAULT,5278,3131,EUR,DE
4999128942,,ORIGINAL,5278,3131,EUR,DE
3730989081,,DEFAULT,3433,6309,EUR,DE
3730989081,,ORIGINAL,3433,6309,EUR,DE
0615839800,,DEFAULT,9094,6781,EUR,DE
0615839800,,ORIGINAL,9094,6781,EUR,DE
1035359278,,DEFAULT,4021,7183,EUR,DE
1035359278,,ORIGINAL,4021,7183,EUR,DE
2600755896,,DEFAULT,2928,3444,EUR,DE
2600755896,,ORIGINAL,2928,3444,EUR,DE
6580410078,,DEFAULT,2022,1534,EUR,DE
6580410078,,ORIGINAL,2022,1534,EUR,DE
5006152516,,DEFAULT,8974,1640,EUR,DE
5006152516,,ORIGINAL,8974,1640,EUR,DE
4208331852,,DEFAULT,3935,5940,EUR,DE
4208331852,,ORIGINAL,3935,5940,EUR,DE
7951200697,,DEFAULT,4252,3929,EUR,DE
7951200697,,ORIGINAL,4252,3929,EUR,DE
3613375419,,DEFAULT,6277,4473,EUR,DE
3613375419,,ORIGINAL,6277,4473,EUR,DE
4521542077,,DEFAULT,4837,1442,EUR,DE
4521542077,,ORIGINAL,4837,1442,EUR,DE
4629066713,,DEFAULT,1936,9014,EUR,DE
4629066713,,ORIGINAL,1936,9014,EUR,DE
0467245738,,DEFAULT,2562,2244,EUR,DE
0467245738,,ORIGINAL,2562,2244,EUR,DE
2053478888,,DEFAULT,2903,8040,EUR,DE
2053478888,,ORIGINAL,2903,8040,EUR,DE
6305977887,,DEFAULT,7055,8984,EUR,DE
6305977887,,ORIGINAL,7055,8984,EUR,DE
0391370588,,DEFAULT,3822,6620,EUR,DE
0391370588,,ORIGINAL,3822,6620,EUR,DE
8736615218,,DEFAULT,7678,5426,EUR,DE
8736615218,,ORIGINAL,7678,5426,EUR,DE
0878194568,,DEFAULT,7254,5147,EUR,DE
0878194568,,ORIGINAL,7254,5147,EUR,DE
7862807553,,DEFAULT,5797,2289,EUR,DE
7862807553,,ORIGINAL,5797,2289,EUR,DE
5417387746,,DEFAULT,6408,3876,EUR,DE
5417387746,,ORIGINAL,6408,3876,EUR,DE
0723887349,,DEFAULT,7852,2152,EUR,DE
0723887349,,ORIGINAL,7852,2152,EUR,DE
3052223682,,DEFAULT,6344,3328,EUR,DE
3052223682,,ORIGINAL,6344,3328,EUR,DE
0809323885,,DEFAULT,8219,2334,EUR,DE
0809323885,,ORIGINAL,8219,2334,EUR,DE
0647632284,,DEFAULT,4926,2696,EUR,DE
0647632284,,ORIGINAL,4926,2696,EUR,DE
6093341232,,DEFAULT,4633,5519,EUR,DE
6093341232,,ORIGINAL,4633,5519,EUR,DE
7082348657,,DEFAULT,3217,5887,EUR,DE
7082348657,,ORIGINAL,3217,5887,EUR,DE
1342307453,,DEFAULT,8691,6557,EUR,DE
1342307453,,ORIGINAL,8691,6557,EUR,DE
1518734286,,DEFAULT,9387,1200,EUR,DE
1518734286,,ORIGINAL,9387,1200,EUR,DE
6144157506,,DEFAULT,6934,7069,EUR,DE
6144157506,,ORIGINAL,6934,7069,EUR,DE
3442108217,,DEFAULT,5536,5129,EUR,DE
3442108217,,ORIGINAL,5536,5129,EUR,DE
8773425850,,DEFAULT,1832,8714,EUR,DE
8773425850,,ORIGINAL,1832,8714,EUR,DE
8033589876,,DEFAULT,9393,4776,EUR,DE
8033589876,,ORIGINAL,9393,4776,EUR,DE
060936491X,,DEFAULT,6145,4749,EUR,DE
060936491X,,ORIGINAL,6145,4749,EUR,DE
7577059110,,DEFAULT,9240,6223,EUR,DE
7577059110,,ORIGINAL,9240,6223,EUR,DE
286149820X,,DEFAULT,9282,3705,EUR,DE
286149820X,,ORIGINAL,9282,3705,EUR,DE
7455824556,,DEFAULT,2206,7740,EUR,DE
7455824556,,ORIGINAL,2206,7740,EUR,DE
4913716409,,DEFAULT,2967,1751,EUR,DE
4913716409,,ORIGINAL,2967,1751,EUR,DE
0312385021,,DEFAULT,4385,3123,EUR,DE
0312385021,,ORIGINAL,4385,3123,EUR,DE
2300138603,,DEFAULT,7122,4429,EUR,DE
2300138603,,ORIGINAL,7122,4429,EUR,DE
7323471893,,DEFAULT,6750,6527,EUR,DE
7323471893,,ORIGINAL,6750,6527,EUR,DE
4837374840,,DEFAULT,7154,9571,EUR,DE
4837374840,,ORIGINAL,7154,9571,EUR,DE
8971183659,,DEFAULT,2270,8157,EUR,DE
8971183659,,ORIGINAL,2270,8157,EUR,DE
2311571567,,DEFAULT,5696,9590,EUR,DE
2311571567,,ORIGINAL,5696,9590,EUR,DE
382867822X,,DEFAULT,5975,2583,EUR,DE
382867822X,,ORIGINAL,5975,2583,EUR,DE
6622161437,,DEFAULT,9430,7509,EUR,DE
6622161437,,ORIGINAL,9430,7509,EUR,DE
6574803454,,DEFAULT,9340,2362,EUR,DE
6574803454,,ORIGINAL,9340,2362,EUR,DE
0673872629,,DEFAULT,3312,1502,EUR,DE
0673872629,,ORIGINAL,3312,1502,EUR,DE
1618772821,,DEFAULT,6679,2369,EUR,DE
1618772821,,ORIGINAL,6679,2369,EUR,DE
5141978931,,DEFAULT,6534,4255,EUR,DE
5141978931,,ORIGINAL,6534,4255,EUR,DE
447648588X,,DEFAULT,6217,1907,EUR,DE
447648588X,,ORIGINAL,6217,1907,EUR,DE
5001990688,,DEFAULT,9495,3683,EUR,DE
5001990688,,ORIGINAL,9495,3683,EUR,DE
6467038355,,DEFAULT,4725,6270,EUR,DE
6467038355,,ORIGINAL,4725,6270,EUR,DE
9698343318,,DEFAULT,2864,8676,EUR,DE
9698343318,,ORIGINAL,2864,8676,EUR,DE
7827793134,,DEFAULT,4997,3499,EUR,DE
7827793134,,ORIGINAL,4997,3499,EUR,DE
0425762831,,DEFAULT,4674,1630,EUR,DE
0425762831,,ORIGINAL,4674,1630,EUR,DE
6217318318,,DEFAULT,1007,1927,EUR,DE
6217318318,,ORIGINAL,1007,1927,EUR,DE
0155341170,,DEFAULT,8961,1233,EUR,DE
0155341170,,ORIGINAL,8961,1233,EUR,DE
7521395638,,DEFAULT,6893,6691,EUR,DE
7521395638,,ORIGINAL,6893,6691,EUR,DE
2373551802,,DEFAULT,1281,1025,EUR,DE
2373551802,,ORIGINAL,1281,1025,EUR,DE
2273322178,,DEFAULT,1678,2932,EUR,DE
2273322178,,ORIGINAL,1678,2932,EUR,DE
2396178040,,DEFAULT,1625,6312,EUR,DE
2396178040,,ORIGINAL,1625,6312,EUR,DE
8363019070,,DEFAULT,6065,2528,EUR,DE
8363019070,,ORIGINAL,6065,2528,EUR,DE
3965981056,,DEFAULT,1094,1211,EUR,DE
3965981056,,ORIGINAL,1094,1211,EUR,DE
5580107323,,DEFAULT,6211,2987,EUR,DE
5580107323,,ORIGINAL,6211,2987,EUR,DE
8745088896,,DEFAULT,1346,2153,EUR,DE
8745088896,,ORIGINAL,1346,2153,EUR,DE
044263725X,,DEFAULT,7445,9912,EUR,DE
044263725X,,ORIGINAL,7445,9912,EUR,DE
9049000355,,DEFAULT,7393,2615,EUR,DE
9049000355,,ORIGINAL,7393,2615,EUR,DE
9627316393,,DEFAULT,6740,5980,EUR,DE
9627316393,,ORIGINAL,6740,5980,EUR,DE
8488401841,,DEFAULT,9983,7986,EUR,DE
8488401841,,ORIGINAL,9983,7986,EUR,DE
6138748905,,DEFAULT,4618,4302,EUR,DE
6138748905,,ORIGINAL,4618,4302,EUR,DE
6502600220,,DEFAULT,2036,1444,EUR,DE
6502600220,,ORIGINAL,2036,1444,EUR,DE
3194701088,,DEFAULT,8426,3162,EUR,DE
3194701088,,ORIGINAL,8426,3162,EUR,DE
1659554519,,DEFAULT,4407,7300,EUR,DE
1659554519,,ORIGINAL,4407,7300,EUR,DE
062782336X,,DEFAULT,7129,6916,EUR,DE
062782336X,,ORIGINAL,7129,6916,EUR,DE
106802920X,,DEFAULT,6941,1539,EUR,DE
106802920X,,ORIGINAL,6941,1539,EUR,DE
1794691472,,DEFAULT,5329,6218,EUR,DE
1794691472,,ORIGINAL,5329,6218,EUR,DE
2700630289,,DEFAULT,9622,3987,EUR,DE
2700630289,,ORIGINAL,9622,3987,EUR,DE
1767760132,,DEFAULT,9335,9093,EUR,DE
1767760132,,ORIGINAL,9335,9093,EUR,DE
5417565725,,DEFAULT,5412,6657,EUR,DE
5417565725,,ORIGINAL,5412,6657,EUR,DE
8727521192,,DEFAULT,8635,1396,EUR,DE
8727521192,,ORIGINAL,8635,1396,EUR,DE
3771715598,,DEFAULT,4128,2409,EUR,DE
