concrete_sku,name,quantity,is_never_out_of_stock,is_bundle
4254802358,name,9,0,0
4909267816,Warehouse2,9,0,0
6761559642,name,9,0,0
6741998187,name,9,0,1
1268846023,Warehouse2,9,0,1
0727257552,Warehouse2,9,0,0
8726050862,Warehouse2,9,0,0
6021143248,name,9,0,1
0627381456,Warehouse2,9,0,1
2378823460,name,9,0,1
9291430986,Warehouse2,9,0,0
7043521610,Warehouse2,9,0,0
3052247875,Warehouse2,9,0,1
5388613437,Warehouse2,9,0,1
4990793056,Warehouse2,9,0,0
9797892816,Warehouse2,9,0,0
601996342X,Warehouse2,9,0,0
7337342667,Warehouse2,9,0,1
9364170377,name,9,0,0
9322714433,name,9,0,0
2314128451,name,9,0,1
7816600275,name,9,0,0
5134638772,name,9,0,1
1769107533,name,9,0,0
7313431414,Warehouse2,9,0,1
5226393229,name,9,0,0
0146203267,name,9,0,1
103223251X,name,9,0,0
6829863333,Warehouse2,9,0,0
9364583531,name,9,0,1
260577404X,Warehouse2,9,0,0
2378675151,Warehouse2,9,0,1
8667291161,Warehouse2,9,0,1
000041350X,Warehouse2,9,0,0
1765949246,name,9,0,1
2827537419,name,9,0,1
3148978986,Warehouse2,9,0,0
903860954X,name,9,0,0
1382578679,name,9,0,0
8969535047,Warehouse2,9,0,1
738620468X,name,9,0,1
4541075687,Warehouse2,9,0,0
2288448946,Warehouse2,9,0,1
887098124X,Warehouse2,9,0,0
2757342037,Warehouse2,9,0,0
0600579816,Warehouse2,9,0,0
7976553690,name,9,0,0
0904366316,Warehouse2,9,0,0
8591875923,name,9,0,1
3350288715,Warehouse2,9,0,1
7066980719,name,9,0,0
4992862136,Warehouse2,9,0,1
7326573573,Warehouse2,9,0,1
6410312261,name,9,0,0
1111432724,Warehouse2,9,0,0
3948805067,name,9,0,0
1369588755,name,9,0,1
900364327X,name,9,0,0
8653074058,Warehouse2,9,0,0
7982157947,Warehouse2,9,0,1
4560030642,Warehouse2,9,0,0
6195176028,name,9,0,1
997248338X,Warehouse2,9,0,0
8642348674,Warehouse2,9,0,1
6976896902,name,9,0,1
2530700362,name,9,0,1
3547469597,name,9,0,1
1057663425,name,9,0,1
7247679379,name,9,0,1
1933148519,name,9,0,0
8988942175,name,9,0,1
2037034105,name,9,0,1
935173949X,Warehouse2,9,0,1
3592213237,name,9,0,1
1836608519,Warehouse2,9,0,1
8509384207,name,9,0,1
5848674434,name,9,0,0
6188655862,Warehouse2,9,0,0
0860218287,Warehouse2,9,0,0
9340805062,Warehouse2,9,0,1
3503247246,name,9,0,0
2284778364,name,9,0,1
1990036856,Warehouse2,9,0,1
8956189560,Warehouse2,9,0,0
8714478056,name,9,0,0
6591850740,name,9,0,1
4594527752,Warehouse2,9,0,0
7317373192,Warehouse2,9,0,1
2031333143,name,9,0,1
6784345428,name,9,0,0
6185018179,Warehouse2,9,0,1
9179390455,name,9,0,1
501873549X,Warehouse2,9,0,0
5160062874,Warehouse2,9,0,0
6671375186,Warehouse2,9,0,0
4467882979,Warehouse2,9,0,0
7521682181,Warehouse2,9,0,1
8852560483,name,9,0,0
4368323815,name,9,0,0
1648272517,Warehouse2,9,0,1
8671009793,Warehouse2,9,0,1
6054067788,name,9,0,1
4654833463,name,9,0,0
7196404963,name,9,0,1
9544930450,name,9,0,0
9073935040,name,9,0,0
4048712039,Warehouse2,9,0,1
9512367238,name,9,0,1
7731979539,Warehouse2,9,0,0
9933067354,name,9,0,0
2479804925,Warehouse2,9,0,1
6580436093,name,9,0,1
9313205238,Warehouse2,9,0,0
0094433496,name,9,0,0
4438367999,name,9,0,1
756383012X,name,9,0,1
1507945760,name,9,0,1
2029468991,name,9,0,1
603593689X,Warehouse2,9,0,0
8276794726,name,9,0,0
4794083815,Warehouse2,9,0,0
7407709815,name,9,0,1
9212019277,Warehouse2,9,0,1
8773868760,name,9,0,0
0072773693,name,9,0,1
8164719617,Warehouse2,9,0,0
8417371206,Warehouse2,9,0,0
7620069216,name,9,0,0
0475621646,Warehouse2,9,0,0
1189558815,name,9,0,0
